Product,NIC3,NIC3 code,Capital2Sales,codes,Activity Names,Ref Flow Names,location,amounts,Units,NPC_code,NPC_name,NPC_Unit,Conversion Factor
Artian Polyster,Manufacture of man-made fibers,203,1.894540133,304eac18688f22f4d6065f5bfe97ef13,polyester-complexed starch biopolymer production,polyester-complexed starch biopolymer,RoW,1,kilogram,3552009,Yarn polyester blended,KG,1
ASCR Conductor,Manufacture of wiring and wiring devices,273,2.792098392,c48ad92044e1890f7123f780b557a6df,"cable production, unspecified","cable, unspecified",GLO,1,kilogram,4294102,"Cable, aluminium",KG,1
Asphalt Mix plant,Manufacture of non-metallic mineral products n.e.c.,239,0.740689353,f00da390ff7d0dc1e208076332139738,mastic asphalt production,mastic asphalt,RoW,1,kilogram,3794000,"Bituminous mixtures based on natural and artificial stone materials and bitumen, natural asphalt or",T,1000
Assembling & Packing of Foot Wear,Manufacture of footwear,152,2.237873331,3d1af71a62f2f7590920352e6af37f18,"textile production, woven cotton","textile, woven cotton",GLO,1,kilogram,2669009,"Dyed/printed textiles, cotton",METRES,0.25
Assembling of Analytical equipment,Manufacture of other fabricated metal products; metalworking service activities,259,1.657209305,6f15ae1c6c1e49f697683743792a577a,"metal working, average for chromium steel product manufacturing","metal working, average for chromium steel product manufacturing",RoW,1,kilogram,3870203,Fabricated metal products,T,1000
Assembling of Engineering Components,Manufacture of other fabricated metal products; metalworking service activities,259,1.657209305,6f15ae1c6c1e49f697683743792a577a,"metal working, average for chromium steel product manufacturing","metal working, average for chromium steel product manufacturing",RoW,1,kilogram,3870203,Fabricated metal products,T,1000
Assembling of PCB,Manufacture of electronic components,261,2.088342482,c70944ca847d4f6eaa3e098f60ef0ea7,"printed wiring board production, for surface mounting, Pb free surface","printed wiring board, for surface mounting, Pb free surface",GLO,1,square meter,4713002,Electronic p c b /micro circuit,NOS,1
Auto mobile components,Manufacture of parts and accessories for motor vehicles,293,1.96355613,acd482ba29ce06c00e2333f8a6238ab0,"metal working, average for steel product manufacturing","metal working, average for steel product manufacturing",RoW,1,kilogram,4315106,Parts of petrol engines for motor vehicles,KG,1
Autoelectrical components,Manufacture of parts and accessories for motor vehicles,293,1.96355613,af87ca16d447dcb8c93054d775c6008b,"electronic component production, active, unspecified","electronic component, active, unspecified",GLO,1,kilogram,4691000,Electrical ignition or starting equipment of a kind used for internal combustion engines; generators and,NOS,0.05443108
Automobile Gears,Manufacture of parts and accessories for motor vehicles,293,1.96355613,acd482ba29ce06c00e2333f8a6238ab0,"metal working, average for steel product manufacturing","metal working, average for steel product manufacturing",RoW,1,kilogram,4912923,"Gear boxes, motor vehicles",NOS,68.0389
Automobile Parts,Manufacture of parts and accessories for motor vehicles,293,1.96355613,acd482ba29ce06c00e2333f8a6238ab0,"metal working, average for steel product manufacturing","metal working, average for steel product manufacturing",RoW,1,kilogram,4912999,"Motor vehicle,others & parts, n.e.c",NOS,0.453592
Automotive inner Rubber tubes,Manufacture of rubber products,221,2.135003155,1114d9ffde71c344503fab04bc7bea5f,"seal production, natural rubber based","seal, natural rubber based",RoW,1,kilogram,3627006,Component & parts rubber,T,1000
Automotive seat belts with webbing,Manufacture of parts and accessories for motor vehicles,293,1.96355613,08a9bc58ce2d23794762ad09887c2a98,glass fibre production,glass fibre,RoW,1,kilogram,4964002,Safety seat belts,NOS,0.7030682
Ayurvedic & Unani drugs,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",210,1.556107912,895ad04515f3fc0240d9051cfdcd4eaf,"carboxymethyl cellulose production, powder","carboxymethyl cellulose, powder",RoW,1,kilogram,3527050,"Ointments, ayurvedic",KG,1
Ayurvedic Medicine,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",210,1.556107912,895ad04515f3fc0240d9051cfdcd4eaf,"carboxymethyl cellulose production, powder","carboxymethyl cellulose, powder",RoW,1,kilogram,3527050,"Ointments, ayurvedic",KG,1
Ayurvedic medicine,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",210,1.556107912,895ad04515f3fc0240d9051cfdcd4eaf,"carboxymethyl cellulose production, powder","carboxymethyl cellulose, powder",RoW,1,kilogram,3527050,"Ointments, ayurvedic",KG,1
Ayurvedic medicines,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",210,1.556107912,895ad04515f3fc0240d9051cfdcd4eaf,"carboxymethyl cellulose production, powder","carboxymethyl cellulose, powder",RoW,1,kilogram,3527050,"Ointments, ayurvedic",KG,1
Ayurvedic Pharmacy,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",210,1.556107912,895ad04515f3fc0240d9051cfdcd4eaf,"carboxymethyl cellulose production, powder","carboxymethyl cellulose, powder",RoW,1,kilogram,3527050,"Ointments, ayurvedic",KG,1
Bacillus thuringieniss var,Manufacture of other chemical products,202,2.603982374,1364fd5e300dd9404c41374d6376a7ef,"pesticide production, unspecified","pesticide, unspecified",RoW,1,kilogram,3466999,"Other insecticides, fungicides, herbicides and disinfectants, n.e.c.",T,1000
Bar bending Wires,Manufacture of wiring and wiring devices,273,2.792098392,6e7dad38c20a0f7a19340133a1d37f37,"wire drawing, steel","wire drawing, steel",RoW,1,kilogram,4126799,"Wire of alloy steel, n.e.c.",T,1000
Battery Reconditioning,"Repair of fabricated metal products, machinery and equipment",331,0.191314393,4a01c7a5c14804698b1c838a6349d9f7,"treatment of scrap lead acid battery, remelting",lead,RoW,1,kilogram,3938000,"Waste and scrap of primary cells, primary batteries and electric accumulators; spent primary cells,",T,1000
Beer manufacturing,Manufacture of beverages,110,1.476681288,7f3616dd5b434a67d92039af20d3c368,ethanol production from rye,"ethanol, without water, in 95% solution state, from fermentation",RoW,1,kilogram,2431000,Beer made from malt,LITRES,1
Beverages,Manufacture of beverages,110,1.476681288,8ca52a63fd0aadd08352e3a204b11fd6,soybean beverage production,soybean beverage,RoW,1,litre,2449099,"Other non-alcoholic caloric beverages, n.e.c.",LITRES,1
Bicycle tubes,Manufacture of rubber products,221,2.135003155,1114d9ffde71c344503fab04bc7bea5f,"seal production, natural rubber based","seal, natural rubber based",RoW,1,kilogram,3627006,Component & parts rubber,T,1000
Bio Fertilizer,"Manufacture of basic chemicals, fertilizer and nitrogen compounds, plastics and synthetic rubber in primary forms",201,1.777223527,c419b348bc6d176813aa52eef540f5b0,"treatment of biowaste, industrial composting",compost,RoW,1,kilogram,3465499,Excreta of animals useful for manure/fertilizer and fuel preparation n.e.c,CUBIC METER,610
Bio Mass Fuel Briquetts,Manufacture of non-metallic mineral products n.e.c.,239,0.740689353,1b77ea93d95ebea906450de98b493246,hard coal briquettes production,hard coal briquettes,RoW,1,megajoule,1102099,"Briquettes and similar solid fuels manufactured from coal, n.e.c.",T,31400
Bio-control Agent,Manufacture of other chemical products,202,2.603982374,1364fd5e300dd9404c41374d6376a7ef,"pesticide production, unspecified","pesticide, unspecified",RoW,1,kilogram,3466399,"Herbicides, anti-sprouting products and plant-growth regulators, n.e.c.",KG,1
Biomedical equipments,Manufacture of glass and glass products,231,0.902008331,550e1458447ba49686a45c92da33238e,"glass tube production, borosilicate","glass tube, borosilicate",RoW,1,kilogram,3529099,Other articles for medical or surgical purposes n.e.c,KG,1
Biomedical Waste,Waste treatment and disposal,382,0.077311561,e276d576447eeb81207337052e0f55b7,"treatment of hazardous waste, hazardous waste incineration","hazardous waste, for incineration",RoW,-1,kilogram,3993100,Pharmaceutical waste,T,1000
Bleached Hosiery fabric,Manufacture of man-made fibers,203,1.894540133,3d1af71a62f2f7590920352e6af37f18,"textile production, woven cotton","textile, woven cotton",GLO,1,kilogram,2669020,"Hosiery knitted cloth, cotton",KG,1
Brakes,Manufacture of parts and accessories for motor vehicles,293,1.96355613,acd482ba29ce06c00e2333f8a6238ab0,"metal working, average for steel product manufacturing","metal working, average for steel product manufacturing",RoW,1,kilogram,3627099,"Articles of vulcanized rubber n.e.c.; hard rubber; articles of hard rubber, n.e.c.",T,1000
Bricks & Tiles,Manufacture of non-metallic mineral products n.e.c.,239,0.740689353,b90fc57561bc25219287978b3a73c6ec,clay brick production,clay brick,RoW,1,kilogram,3754000,"Tiles, flagstones, bricks and similar articles, of cement, concrete or artificial stone",T,1000
Briquettes,Manufacture of non-metallic mineral products n.e.c.,239,0.740689353,1b77ea93d95ebea906450de98b493246,hard coal briquettes production,hard coal briquettes,RoW,1,megajoule,1102099,"Briquettes and similar solid fuels manufactured from coal, n.e.c.",T,31400
Bulb Assembley,Manufacture of electric lighting equipment,274,2.16484929,550e1458447ba49686a45c92da33238e,"glass tube production, borosilicate","glass tube, borosilicate",RoW,1,kilogram,3719108,Glass for fluroscent lamps,KG,1
Bulbs,Manufacture of electric lighting equipment,274,2.16484929,550e1458447ba49686a45c92da33238e,"glass tube production, borosilicate","glass tube, borosilicate",RoW,1,kilogram,3719108,Glass for fluroscent lamps,KG,1
Bulk Petrolium Storage,"Manufacture of structural metal products, tanks, reservoirs and steam generators",251,1.653807995,354acdfe7eaf35d6a33f90caa2b250c6,"oil storage production, 3000l","oil storage, 3000l",RoW,1,unit,4293199,"Tanks, casks, drums, cans, boxes and similar containers (other than for compressed or liquefied gas) of",KG,0.00209205
Bulkdrug Intermediates,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",210,1.556107912,733f122e78a8a92562476004dd20a6ce,chloromethyl methyl ether production,chloromethyl methyl ether,RoW,1,kilogram,3527017,Biochemic mixed medicines,KG,1
Cable wires,Manufacture of wiring and wiring devices,273,2.792098392,c48ad92044e1890f7123f780b557a6df,"cable production, unspecified","cable, unspecified",GLO,1,kilogram,4294203,Copper cables,KG,1
Calcined Magnasite,Manufacture of other chemical products,202,2.603982374,3b018cb3cf54c3cc798f49f2df3c2492,magnesium oxide production,magnesium oxide,RoW,1,kilogram,3425009,Calcium compound,KG,1
Candles & Incense Resigns,Manufacture of refined petroleum products,192,4.071714278,1564dd734d83536d8c18eab4e9224d8d,paraffin production,paraffin,RoW,1,kilogram,3533201,Wax candle (non decorative),T,1000
Cans,Manufacture of other fabricated metal products; metalworking service activities,259,1.657209305,1151a50bc7b6a63d81d897eeb55e3a46,"impact extrusion of aluminium, 2 strokes","impact extrusion of aluminium, 2 strokes",RoW,1,kilogram,4293101,"Cans, aluminium",KG,1
Carbon Dioxide,"Manufacture of basic chemicals, fertilizer and nitrogen compounds, plastics and synthetic rubber in primary forms",201,1.777223527,e26df5a05df95e49d42e51f7d430f070,"carbon dioxide production, liquid","carbon dioxide, liquid",RoW,1,kilogram,3421005,Carbon dioxide gas,KG,1
Cartons,Manufacture of paper and paper products,170,1.199184149,e835c227100204574ee5a94602a8af90,"carton board box production service, with offset printing","carton board box production, with offset printing",RoW,1,kilogram,3215101,Corrugated paper board,T,1000
Cement Bricks & Pipes,Manufacture of non-metallic mineral products n.e.c.,239,0.740689353,e4600b2c1bb4dfa7084371554c073eed,concrete block production,concrete block,RoW,1,kilogram,3754000,"Tiles, flagstones, bricks and similar articles, of cement, concrete or artificial stone",T,1000
Cement Hallow Block,Manufacture of non-metallic mineral products n.e.c.,239,0.740689353,e4600b2c1bb4dfa7084371554c073eed,concrete block production,concrete block,RoW,1,kilogram,3754000,"Tiles, flagstones, bricks and similar articles, of cement, concrete or artificial stone",T,1000
"Cement Paint, tile adhesive primevs, enamels, water proof",Manufacture of other chemical products,202,2.603982374,34451877bc07bc3eabd341d733798d71,"acrylic varnish production, product in 87.5% solution state","acrylic varnish, without water, in 87.5% solution state",RoW,1,kilogram,3511099,"Paints and varnishes and related products, n.e.c.",T,1000
Cement pavers,Manufacture of non-metallic mineral products n.e.c.,239,0.740689353,812ccb6da2880de04c0bd191877eed9e,cement tile production,cement tile,RoW,1,kilogram,3754000,"Tiles, flagstones, bricks and similar articles, of cement, concrete or artificial stone",T,1000
Cements pipes,Manufacture of non-metallic mineral products n.e.c.,239,0.740689353,e4600b2c1bb4dfa7084371554c073eed,concrete block production,concrete block,RoW,1,kilogram,3756000,"Other articles of cement, concrete or artificial stone",T,1000
Chemical containers,"Manufacture of structural metal products, tanks, reservoirs and steam generators",251,1.653807995,7594b6e64982674aa893939d0fe35148,"liquid storage tank production, chemicals, organics","liquid storage tank, chemicals, organics",RoW,1,unit,4293199,"Tanks, casks, drums, cans, boxes and similar containers (other than for compressed or liquefied gas) of",KG,1.80E-06
Chemical-Potassium Nitrate,"Manufacture of basic chemicals, fertilizer and nitrogen compounds, plastics and synthetic rubber in primary forms",201,1.777223527,e3c5a2f1f319d9743ea3ce3be4e2f833,potassium nitrate production,potassium nitrate,RoW,1,kilogram,3464600,Potassium nitrate,T,1000
Chemicals,Manufacture of other chemical products,202,2.603982374,1364fd5e300dd9404c41374d6376a7ef,"pesticide production, unspecified","pesticide, unspecified",RoW,1,kilogram,3466600,Hazardous pesticides,T,1000
Clay Bricks,Manufacture of non-metallic mineral products n.e.c.,239,0.740689353,b90fc57561bc25219287978b3a73c6ec,clay brick production,clay brick,RoW,1,kilogram,3756000,"Other articles of cement, concrete or artificial stone",T,1000
Compost Plant,"Manufacture of basic chemicals, fertilizer and nitrogen compounds, plastics and synthetic rubber in primary forms",201,1.777223527,c419b348bc6d176813aa52eef540f5b0,"treatment of biowaste, industrial composting",compost,RoW,1,kilogram,3465499,Excreta of animals useful for manure/fertilizer and fuel preparation n.e.c,CUBIC METER,610
Concrete Products,Manufacture of non-metallic mineral products n.e.c.,239,0.740689353,e4600b2c1bb4dfa7084371554c073eed,concrete block production,concrete block,RoW,1,kilogram,3756000,"Other articles of cement, concrete or artificial stone",T,1000
Copper & lead sheet,Casting of metals,243,0.998678157,9ff0c44386e2e1f6bca5d2efddf480bf,"sheet rolling, copper","sheet rolling, copper",RoW,1,kilogram,4151499,"Plates, sheets and strip, of copper, of a thickness exceeding 0.15 mm, n.e.c.",T,1000
Copper Oxychloride,Manufacture of other chemical products,202,2.603982374,8fad8c9766d811a9babca61cb058dfd2,copper oxide production,copper oxide,RoW,1,kilogram,3466204,Copper oxychloride,T,1000
Corrugated Box,Manufacture of paper and paper products,170,1.199184149,21ef125ba2c04055bda066e676ec7a8b,corrugated board box production,corrugated board box,RoW,1,kilogram,3215101,Corrugated paper board,T,1000
Corrugated box,Manufacture of paper and paper products,170,1.199184149,21ef125ba2c04055bda066e676ec7a8b,corrugated board box production,corrugated board box,RoW,1,kilogram,3215101,Corrugated paper board,T,1000
Cotton,"Spinning, weaving and finishing of textiles.",131,1.482288568,3d1af71a62f2f7590920352e6af37f18,"textile production, woven cotton","textile, woven cotton",GLO,1,kilogram,2636099,"Cotton yarn (other than sewing thread), containing 85% or more by weight of cotton; n.e.c",KG,1
Cotton Rap pulp,"Spinning, weaving and finishing of textiles.",131,1.482288568,3d1af71a62f2f7590920352e6af37f18,"textile production, woven cotton","textile, woven cotton",GLO,1,kilogram,3529012,Cotton wool (medicinal),KG,1
Cotton spinning,"Spinning, weaving and finishing of textiles.",131,1.482288568,3d1af71a62f2f7590920352e6af37f18,"textile production, woven cotton","textile, woven cotton",GLO,1,kilogram,2636099,"Cotton yarn (other than sewing thread), containing 85% or more by weight of cotton; n.e.c",KG,1
Cotton Wadding,"Spinning, weaving and finishing of textiles.",131,1.482288568,3d1af71a62f2f7590920352e6af37f18,"textile production, woven cotton","textile, woven cotton",GLO,1,kilogram,3529012,Cotton wool (medicinal),KG,1
Cotton waste,Materials recovery,383,3.219869937,3d1af71a62f2f7590920352e6af37f18,"textile production, woven cotton","textile, woven cotton",GLO,1,kilogram,3921501,Cotton waste,T,1000
Crank case,Manufacture of parts and accessories for motor vehicles,293,1.96355613,acd482ba29ce06c00e2333f8a6238ab0,"metal working, average for steel product manufacturing","metal working, average for steel product manufacturing",RoW,1,kilogram,4332005,Cranks cases,NOS,15.8757
Curcumin colens extract,Manufacture of other food products,107,1.246959641,8a345be5b97acfbeace9d6c9cb73a55a,"tea production, dried","tea, dried",RoW,1,kilogram,2392499,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, processed; n.e.c",KG,1
Currency Printing,Printing and service activites related to printing,181,1.123165273,bdf93c7ae55befc31e4c85758c062696,"offset printing, per kg printed paper","printed paper, offset",RoW,1,kilogram,3513004,Ink printing,KG,1
Cut umbrella panel & umbrella straps,Manufacture of plastics products,222,1.941952343,e922c7f2ad2f8a72dc8b8a950d152e02,nylon 6 production,nylon 6,RoW,1,kilogram,2671004,"Fabrics, nylon",METRES,0.35
Cutting & Polishing soap stone,Manufacture of non-metallic mineral products n.e.c.,239,0.740689353,b922aed13a8c43cbe2c109818a00d017,"natural stone plate production, polished","natural stone plate, polished",RoW,1,kilogram,3769000,"Other worked monumental or building stone and articles thereof; other artificially coloured granules,",T,1000
D.G. Set,Manufacture of general purpose machinery,281,2.002993423,b11baabf569b788ec5c579cfa287ef68,"diesel-electric generating set production, 10MW","diesel-electric generating set, 10MW",RoW,1,unit,4611299,Universal ac/dc motors of an output exceeding 37.5 w; other ac motors; ac generators,NOS,1
D.G. set,Manufacture of general purpose machinery,281,2.002993423,b11baabf569b788ec5c579cfa287ef68,"diesel-electric generating set production, 10MW","diesel-electric generating set, 10MW",RoW,1,unit,4611299,Universal ac/dc motors of an output exceeding 37.5 w; other ac motors; ac generators,NOS,1
D.G.set,Manufacture of general purpose machinery,281,2.002993423,b11baabf569b788ec5c579cfa287ef68,"diesel-electric generating set production, 10MW","diesel-electric generating set, 10MW",RoW,1,unit,4611299,Universal ac/dc motors of an output exceeding 37.5 w; other ac motors; ac generators,NOS,1
Die Forging & Open Forging,Manufacture of other fabricated metal products; metalworking service activities,259,1.657209305,9e2c8c83b7f56ec642a2226e3e6abff5,"forging, steel, large open die","forging, steel",RoW,1,kilogram,4124401,Bars and rods of alloy steel forged,T,1000
Diesel Engines,Manufacture of general purpose machinery,281,2.002993423,240e5d8952507507f8d06c4555adbf48,"internal combustion engine production, passenger car","internal combustion engine, for passenger car",GLO,1,kilogram,4312201,Motor car engine excd. 1000 cc,NOS,113.398
Dimethyl Plasthalate,Manufacture of other chemical products,202,2.603982374,5ae24be95f064cc0fa22096b87578c89,dimethyl hexynediol production,dimethyl hexynediol,GLO,1,kilogram,3474002,"Dmt , dimethyl terepthalate ,  polyester precursor",KG,1
Distemper Paint & emulsion,Manufacture of other chemical products,202,2.603982374,34451877bc07bc3eabd341d733798d71,"acrylic varnish production, product in 87.5% solution state","acrylic varnish, without water, in 87.5% solution state",RoW,1,kilogram,3511064,Paint,T,1000
Distillery,Manufacture of beverages,110,1.476681288,1add17f2d6280dc598523007fd78343a,ethanol production from potatoes,"ethanol, without water, in 95% solution state, from fermentation",RoW,1,kilogram,2411001,Neutral Grain Spirit,LITRES,0.94
e-waste recycling,Materials recovery,383,3.219869937,290aeca0d66c27f48eb90c3c264a4627,"treatment of electronics scrap, metals recovery in copper smelter","metal part of electronics scrap, in blister-copper",RoW,1,kilogram,3936199,Waste and scrap of copper n.e.c,T,1000
Electric pannel board,Manufacture of electronic components,261,2.088342482,c70944ca847d4f6eaa3e098f60ef0ea7,"printed wiring board production, for surface mounting, Pb free surface","printed wiring board, for surface mounting, Pb free surface",GLO,1,square meter,4621400,"Boards, consoles, cabinets and other bases, equipped with electrical switching etc. apparatus, for",NOS,1
Electrical components,Manufacture of electronic components,261,2.088342482,af87ca16d447dcb8c93054d775c6008b,"electronic component production, active, unspecified","electronic component, active, unspecified",GLO,1,kilogram,4691000,Electrical ignition or starting equipment of a kind used for internal combustion engines; generators and,NOS,0.05443108
Electrical Insulated Strips,Manufacture of wiring and wiring devices,273,2.792098392,e516a6bd78a88a5632d90214230ee88a,"cable production, three-conductor cable","cable, three-conductor cable",GLO,1,meter,4634002,Plastic insulated conductors for a voltage not exceeding 1000 v,T,961.5384615
Electrical Stamping,Manufacture of other fabricated metal products; metalworking service activities,259,1.657209305,acd482ba29ce06c00e2333f8a6238ab0,"metal working, average for steel product manufacturing","metal working, average for steel product manufacturing",RoW,1,kilogram,3870203,Fabricated metal products,T,1000
Electronic Chokes( Tube light Chokes),Manufacture of electronic components,261,2.088342482,a169c23725cd8331377c288c6801b0bd,"electronics production, for control units","electronics, for control units",RoW,1,kilogram,4714099,"Electronic valve / tube / components, n.e.c",NOS,0.113398
Electronic Equipment,Manufacture of other electrical equipment,279,1.472301231,af87ca16d447dcb8c93054d775c6008b,"electronic component production, active, unspecified","electronic component, active, unspecified",GLO,1,kilogram,4714099,"Electronic valve / tube / components, n.e.c",NOS,0.113398
Electroplating,Manufacture of other fabricated metal products; metalworking service activities,259,1.657209305,9469cd49780280b281edf4300f794b96,"zinc coating, pieces","zinc coat, pieces",RoW,1,square meter,4123104,Steel coated with zinc,T,60
Enzymes,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",210,1.556107912,c911b229024adde552a49792fe054cf0,enzymes production,enzymes,RoW,1,kilogram,3417009,Enzyme not used in food products,T,1000
Essential Oil,Manufacture of Vegetable and animal oils and fats ,104,4.001774325,f822ef59188a7b0490406210daf81d2b,"coconut oil production, crude","coconut oil, crude",RoW,1,kilogram,3541001,"Essential oil, synthetic",KG,1
Extraction of Spirulina,Manufacture of other food products,107,1.246959641,2225ed2f7404006b14d0d321374a87c4,ethylene hydration,"ethanol, without water, in 99.7% solution state, from ethylene",RoW,1,kilogram,3525098,Other Vitamins in tablet or injectable form,KG,1
Fabrication,Manufacture of other fabricated metal products; metalworking service activities,259,1.657209305,acd482ba29ce06c00e2333f8a6238ab0,"metal working, average for steel product manufacturing","metal working, average for steel product manufacturing",RoW,1,kilogram,3870203,Fabricated metal products,T,1000
Fertilizer,"Manufacture of basic chemicals, fertilizer and nitrogen compounds, plastics and synthetic rubber in primary forms",201,1.777223527,0a01c7f06154ab5cdc45cc1cdd72a22f,ammonium nitrate production,"ammonium nitrate, as N",RoW,1,kilogram,3464100,"Fertilizers containing three nutrients: nitrogen, phosphorus and potassium",T,1000
Fish oil,Manufacture of Vegetable and animal oils and fats ,104,4.001774325,d6dc3582643fc4e8ede650a03a641a9b,treatment of tallow to esterquat,esterquat,RoW,1,kilogram,2152500,"Fats and oils and their fractions, of fish, other than liver oils",T,1000
Flat woven fabric / Tricot knitted textiles,"Spinning, weaving and finishing of textiles.",131,1.482288568,533985623bb02dfa0e86cb5c019d7355,"textile production, knit cotton, batch dyed","textile, knit cotton",GLO,1,kilogram,2669009,"Dyed/printed textiles, cotton",METRES,0.25
food & Beverages Cans,Manufacture of other fabricated metal products; metalworking service activities,259,1.657209305,1151a50bc7b6a63d81d897eeb55e3a46,"impact extrusion of aluminium, 2 strokes","impact extrusion of aluminium, 2 strokes",RoW,1,kilogram,4293101,"Cans, aluminium",KG,1
Footware Insole Components,Manufacture of footwear,152,2.237873331,4db6ab40e86afab5f05c7af07da47967,"polyurethane production, flexible foam","polyurethane, flexible foam",RoW,1,kilogram,3479004,Polyurethane ( p u),T,1000
Forging,Manufacture of other fabricated metal products; metalworking service activities,259,1.657209305,9e2c8c83b7f56ec642a2226e3e6abff5,"forging, steel, large open die","forging, steel",RoW,1,kilogram,4124401,Bars and rods of alloy steel forged,T,1000
Formaldehyde,Manufacture of other chemical products,202,2.603982374,e12cd797678d8f307d87f62679e09a2a,oxidation of methanol,formaldehyde,RoW,1,kilogram,3417014,Formaldehyde,KG,1
Formulating,Manufacture of other chemical products,202,2.603982374,1364fd5e300dd9404c41374d6376a7ef,"pesticide production, unspecified","pesticide, unspecified",RoW,1,kilogram,3466600,Hazardous pesticides,T,1000
Formulation Pesticides,Manufacture of other chemical products,202,2.603982374,1364fd5e300dd9404c41374d6376a7ef,"pesticide production, unspecified","pesticide, unspecified",RoW,1,kilogram,3466600,Hazardous pesticides,T,1000
Foundry,Manufacture of other fabricated metal products; metalworking service activities,259,1.657209305,9e2c8c83b7f56ec642a2226e3e6abff5,"forging, steel, large open die","forging, steel",RoW,1,kilogram,4124401,Bars and rods of alloy steel forged,T,1000
Frames & doors,"Manufacture of products of wood, cork, straw and plaiting materials",162,1.648473115,ac788592d68de618945e04d7d506c4fb,"door production, outer, wood-aluminium","door, outer, wood-aluminium",RoW,1,square meter,4212002,"Doors, windows and their frames and thresholds for doors, of aluminium",T,19.72386588
Fuel Briquettes,Manufacture of non-metallic mineral products n.e.c.,239,0.740689353,1b77ea93d95ebea906450de98b493246,hard coal briquettes production,hard coal briquettes,RoW,1,megajoule,1102099,"Briquettes and similar solid fuels manufactured from coal, n.e.c.",T,31400
Garment Stitching,"Manufacture of wearing apparel, except fur apparel",141,1.65153626,533985623bb02dfa0e86cb5c019d7355,"textile production, knit cotton, batch dyed","textile, knit cotton",GLO,1,kilogram,2669009,"Dyed/printed textiles, cotton",METRES,0.25
